"authors","title","doi","journal","habitat","region","scale_name","scale_size_m2","scale_size_km","type_study","notes","n_rows","scale_type","record"
"Deleglise, Claire; Loucougaray, Gregory; Alard, Didier","Spatial patterns of species and plant traits in response to 20 years of grazing exclusion in subalpine grassland communities","10.1111/j.1654-1103.2011.01277.x","JOURNAL OF VEGETATION SCIENCE","grassland","Europe","transect",NA,0.01,"exp","",38,"method_scale","km"
"Deleglise, Claire; Loucougaray, Gregory; Alard, Didier","Spatial patterns of species and plant traits in response to 20 years of grazing exclusion in subalpine grassland communities","10.1111/j.1654-1103.2011.01277.x","JOURNAL OF VEGETATION SCIENCE","grassland","Europe","quadrat",0.01,NA,"exp","",169,"method_scale","m2"
"Lan, Zhichun; Jenerette, G. Darrel; Zhan, Shuxia; Li, Wenhuai; Zheng, Shuxia; Bai, Yongfei","Testing the scaling effects and mechanisms of N-induced biodiversity loss: evidence from a decade-long grassland experiment","10.1111/1365-2745.12395","JOURNAL OF ECOLOGY","grassland","Asia","plot",25,NA,"exp","",390,"method_scale","m2"
"Lan, Zhichun; Jenerette, G. Darrel; Zhan, Shuxia; Li, Wenhuai; Zheng, Shuxia; Bai, Yongfei","Testing the scaling effects and mechanisms of N-induced biodiversity loss: evidence from a decade-long grassland experiment","10.1111/1365-2745.12395","JOURNAL OF ECOLOGY","grassland","Asia","quadrat",1,NA,"exp","",169,"method_scale","m2"
"Lan, Zhichun; Jenerette, G. Darrel; Zhan, Shuxia; Li, Wenhuai; Zheng, Shuxia; Bai, Yongfei","Testing the scaling effects and mechanisms of N-induced biodiversity loss: evidence from a decade-long grassland experiment","10.1111/1365-2745.12395","JOURNAL OF ECOLOGY","grassland","Asia","quadrat",2,NA,"exp","",169,"method_scale","m2"
"Lan, Zhichun; Jenerette, G. Darrel; Zhan, Shuxia; Li, Wenhuai; Zheng, Shuxia; Bai, Yongfei","Testing the scaling effects and mechanisms of N-induced biodiversity loss: evidence from a decade-long grassland experiment","10.1111/1365-2745.12395","JOURNAL OF ECOLOGY","grassland","Asia","quadrat",3,NA,"exp","",169,"method_scale","m2"
"Lan, Zhichun; Jenerette, G. Darrel; Zhan, Shuxia; Li, Wenhuai; Zheng, Shuxia; Bai, Yongfei","Testing the scaling effects and mechanisms of N-induced biodiversity loss: evidence from a decade-long grassland experiment","10.1111/1365-2745.12395","JOURNAL OF ECOLOGY","grassland","Asia","quadrat",4,NA,"exp","",169,"method_scale","m2"
"Lan, Zhichun; Jenerette, G. Darrel; Zhan, Shuxia; Li, Wenhuai; Zheng, Shuxia; Bai, Yongfei","Testing the scaling effects and mechanisms of N-induced biodiversity loss: evidence from a decade-long grassland experiment","10.1111/1365-2745.12395","JOURNAL OF ECOLOGY","grassland","Asia","quadrat",5,NA,"exp","",169,"method_scale","m2"
"Lan, Zhichun; Jenerette, G. Darrel; Zhan, Shuxia; Li, Wenhuai; Zheng, Shuxia; Bai, Yongfei","Testing the scaling effects and mechanisms of N-induced biodiversity loss: evidence from a decade-long grassland experiment","10.1111/1365-2745.12395","JOURNAL OF ECOLOGY","grassland","Asia","quadrat",6,NA,"exp","",169,"method_scale","m2"
"Lan, Zhichun; Jenerette, G. Darrel; Zhan, Shuxia; Li, Wenhuai; Zheng, Shuxia; Bai, Yongfei","Testing the scaling effects and mechanisms of N-induced biodiversity loss: evidence from a decade-long grassland experiment","10.1111/1365-2745.12395","JOURNAL OF ECOLOGY","grassland","Asia","quadrat",8,NA,"exp","",169,"method_scale","m2"
"Lan, Zhichun; Jenerette, G. Darrel; Zhan, Shuxia; Li, Wenhuai; Zheng, Shuxia; Bai, Yongfei","Testing the scaling effects and mechanisms of N-induced biodiversity loss: evidence from a decade-long grassland experiment","10.1111/1365-2745.12395","JOURNAL OF ECOLOGY","grassland","Asia","quadrat",9,NA,"exp","",169,"method_scale","m2"
"Lan, Zhichun; Jenerette, G. Darrel; Zhan, Shuxia; Li, Wenhuai; Zheng, Shuxia; Bai, Yongfei","Testing the scaling effects and mechanisms of N-induced biodiversity loss: evidence from a decade-long grassland experiment","10.1111/1365-2745.12395","JOURNAL OF ECOLOGY","grassland","Asia","quadrat",10,NA,"exp","",169,"method_scale","m2"
"Lan, Zhichun; Jenerette, G. Darrel; Zhan, Shuxia; Li, Wenhuai; Zheng, Shuxia; Bai, Yongfei","Testing the scaling effects and mechanisms of N-induced biodiversity loss: evidence from a decade-long grassland experiment","10.1111/1365-2745.12395","JOURNAL OF ECOLOGY","grassland","Asia","quadrat",12,NA,"exp","",169,"method_scale","m2"
"Lan, Zhichun; Jenerette, G. Darrel; Zhan, Shuxia; Li, Wenhuai; Zheng, Shuxia; Bai, Yongfei","Testing the scaling effects and mechanisms of N-induced biodiversity loss: evidence from a decade-long grassland experiment","10.1111/1365-2745.12395","JOURNAL OF ECOLOGY","grassland","Asia","quadrat",15,NA,"exp","",169,"method_scale","m2"
"Lan, Zhichun; Jenerette, G. Darrel; Zhan, Shuxia; Li, Wenhuai; Zheng, Shuxia; Bai, Yongfei","Testing the scaling effects and mechanisms of N-induced biodiversity loss: evidence from a decade-long grassland experiment","10.1111/1365-2745.12395","JOURNAL OF ECOLOGY","grassland","Asia","quadrat",16,NA,"exp","",169,"method_scale","m2"
"Lan, Zhichun; Jenerette, G. Darrel; Zhan, Shuxia; Li, Wenhuai; Zheng, Shuxia; Bai, Yongfei","Testing the scaling effects and mechanisms of N-induced biodiversity loss: evidence from a decade-long grassland experiment","10.1111/1365-2745.12395","JOURNAL OF ECOLOGY","grassland","Asia","quadrat",20,NA,"exp","",169,"method_scale","m2"
"Lan, Zhichun; Jenerette, G. Darrel; Zhan, Shuxia; Li, Wenhuai; Zheng, Shuxia; Bai, Yongfei","Testing the scaling effects and mechanisms of N-induced biodiversity loss: evidence from a decade-long grassland experiment","10.1111/1365-2745.12395","JOURNAL OF ECOLOGY","grassland","Asia","quadrat",25,NA,"exp","",169,"method_scale","m2"
"Ebeling, Anne; Klein, Alexandra-Maria; Schumacher, Jens; Weisser, Wolfgang W.; Tscharntke, Teja","How does plant richness affect pollinator richness and temporal stability of flower visits?","10.1111/j.1600-0706.2008.16819.x","OIKOS","palustrine wetland","Europe","plot",400,NA,"exp","",390,"method_scale","m2"
"Ebeling, Anne; Klein, Alexandra-Maria; Schumacher, Jens; Weisser, Wolfgang W.; Tscharntke, Teja","How does plant richness affect pollinator richness and temporal stability of flower visits?","10.1111/j.1600-0706.2008.16819.x","OIKOS","palustrine wetland","Europe","quadrat",0.64,NA,"exp","",169,"method_scale","m2"
"Atkinson, Beth; Bailey, Sallie; Vaughan, Ian P.; Memmott, Jane","A comparison of clearfelling and gradual thinning of plantations for the restoration of insect herbivores and woodland plants","10.1111/1365-2664.12507","JOURNAL OF APPLIED ECOLOGY","forest","Europe","plot",20000,NA,"obs","",390,"method_scale","m2"
"Atkinson, Beth; Bailey, Sallie; Vaughan, Ian P.; Memmott, Jane","A comparison of clearfelling and gradual thinning of plantations for the restoration of insect herbivores and woodland plants","10.1111/1365-2664.12507","JOURNAL OF APPLIED ECOLOGY","forest","Europe","transect",200,NA,"obs","",38,"method_scale","m2"
"Zhang, Minna; Li, Guangyin; Wang, Yue; Pan, Duofeng; Sun, Jinyan; Wang, Ling","Land use intensification alters the relative contributions of plant functional diversity and soil properties on grassland productivity","10.1007/s00442-022-05288-4","OECOLOGIA","grassland","Asia","plot",100,NA,"obs","",390,"method_scale","m2"
"Zhang, Minna; Li, Guangyin; Wang, Yue; Pan, Duofeng; Sun, Jinyan; Wang, Ling","Land use intensification alters the relative contributions of plant functional diversity and soil properties on grassland productivity","10.1007/s00442-022-05288-4","OECOLOGIA","grassland","Asia","quadrat",1,NA,"obs","",169,"method_scale","m2"
"Zhang, Minna; Li, Guangyin; Wang, Yue; Pan, Duofeng; Sun, Jinyan; Wang, Ling","Land use intensification alters the relative contributions of plant functional diversity and soil properties on grassland productivity","10.1007/s00442-022-05288-4","OECOLOGIA","grassland","Asia","transect",NA,1,"obs","",38,"method_scale","km"
"Maron, John L.; Klironomos, John; Waller, Lauren; Callaway, Ragan M.","Invasive plants escape from suppressive soil biota at regional scales","10.1111/1365-2745.12172","JOURNAL OF ECOLOGY","grassland","North America","site",NA,5000,"exp","",72,"method_scale","km"
"Xiao, Chunwang; Guenet, Bertrand; Zhou, Yong; Su, Jiaqi; Janssens, Ivan A.","Priming of soil organic matter decomposition scales linearly with microbial biomass response to litter input in steppe vegetation","10.1111/oik.01728","OIKOS","grassland","Asia","plot",2,NA,"exp","",390,"method_scale","m2"
