"authors","title","doi","journal","habitat","region","scale_name","scale_size_m2","scale_size_km","type_study","notes","n_rows","scale_type","record"
"Kendig, Amy E.; Borer, Elizabeth T.; Mitchell, Charles E.; Power, Alison G.; Seabloom, Eric W.","Characteristics and drivers of plant virus community spatial patterns in US west coast grasslands","10.1111/oik.04178","OIKOS","grassland","North America","plot",1600,NA,"exp","",390,"method_scale","m2"
"Christianen, Marjolijn J. A.; Smulders, Fee O. H.; Engel, M. Sabine; Nava, Mabel I.; Willis, Sue; Debrot, Adolphe O.; Palsboll, Per J.; Vonk, J. Arie; Becking, Leontine E.","Megaherbivores may impact expansion of invasive seagrass in the Caribbean","10.1111/1365-2745.13021","JOURNAL OF ECOLOGY","grassland","Central America","plot",2.25,NA,"obs","",390,"method_scale","m2"
"Ames, Gregory M.; Anderson, Steven M.; Wright, Justin P.","Multiple environmental drivers structure plant traits at the community level in a pyrogenic ecosystem","10.1111/1365-2435.12536","FUNCTIONAL ECOLOGY","grassland","North America","plot",15,NA,"obs","",390,"method_scale","m2"
"Dullinger, S; Dirnbock, T; Greimler, J; Grabherr, G","A resampling approach for evaluating effects of pasture abandonment on subalpine plant species diversity","10.1111/j.1654-1103.2003.tb02149.x","JOURNAL OF VEGETATION SCIENCE","grassland","Europe","plot",30,NA,"obs","",390,"method_scale","m2"
"Jacquemyn, Hans; Brys, Rein; Merckx, Vincent S. F. T.; Waud, Michael; Lievens, Bart; Wiegand, Thorsten","Coexisting orchid species have distinct mycorrhizal communities and display strong spatial segregation","10.1111/nph.12640","NEW PHYTOLOGIST","grassland","Europe","plot",625,NA,"obs","",390,"method_scale","m2"
"Benayas, JMR; Scheiner, SM","Plant diversity, biogeography and environment in Iberia: Patterns and possible causal factors","10.1111/j.1654-1103.2002.tb02045.x","JOURNAL OF VEGETATION SCIENCE","grassland","Europe","plot",0.25,NA,"obs","",390,"method_scale","m2"
"Benayas, JMR; Scheiner, SM","Plant diversity, biogeography and environment in Iberia: Patterns and possible causal factors","10.1111/j.1654-1103.2002.tb02045.x","JOURNAL OF VEGETATION SCIENCE","grassland","Europe","plot",6,NA,"obs","",390,"method_scale","m2"
"Gomez-Garcia, Daniel; de Juana, Angel Javier Aguirre; Sanchez, Rafael Jimenez; Magallon, Celia Manrique","Shrub encroachment in Mediterranean mountain grasslands: Rate and consequences on plant diversity and forage availability","10.1111/jvs.13174","JOURNAL OF VEGETATION SCIENCE","grassland","Europe","plot",9,NA,"exp","",390,"method_scale","m2"
"Renne, Ian J.; Tracy, Benjamin F.; Colonna, Ignacio A.","Shifts in grassland invasibility: Effects of soil resources, disturbance, composition, and invader size","10.1890/0012-9658(2006)87[2264:SIGIEO]2.0.CO;2","ECOLOGY","grassland","North America","plot",1,NA,"exp","",390,"method_scale","m2"
"Herben, Tomas; Brezina, Stanislav; Hadincova, Vera; Krahulec, Frantisek; Skalova, Hana","Mutual replacement of species in space in a grassland community: is there an evidence for functional complementarity of replacement groups?","10.1111/j.1600-0706.2012.20268.x","OIKOS","grassland","Europe","plot",0.25,NA,"exp","",390,"method_scale","m2"
"Herben, Tomas; Brezina, Stanislav; Hadincova, Vera; Krahulec, Frantisek; Skalova, Hana","Mutual replacement of species in space in a grassland community: is there an evidence for functional complementarity of replacement groups?","10.1111/j.1600-0706.2012.20268.x","OIKOS","grassland","Europe","plot",0.071289,NA,"exp","",390,"method_scale","m2"
"Bergamin, Rodrigo Scarton; Ascensao, Fernando; Capinha, Cesar; Bastazini, Vinicius Augusto Galvao; Andrade, Bianca Ott; Boldrini, Ilsi Iob; Lezama, Felipe; Altesor, Alice; Perelman, Susana; Overbeck, Gerhard Ernst","Native and alien grassland diversity respond differently to environmental and anthropogenic drivers across spatial scales","10.1111/jvs.13133","JOURNAL OF VEGETATION SCIENCE","grassland","South America","plot",25,NA,"obs","",390,"method_scale","m2"
"Bergamin, Rodrigo Scarton; Ascensao, Fernando; Capinha, Cesar; Bastazini, Vinicius Augusto Galvao; Andrade, Bianca Ott; Boldrini, Ilsi Iob; Lezama, Felipe; Altesor, Alice; Perelman, Susana; Overbeck, Gerhard Ernst","Native and alien grassland diversity respond differently to environmental and anthropogenic drivers across spatial scales","10.1111/jvs.13133","JOURNAL OF VEGETATION SCIENCE","grassland","South America","plot",1,NA,"obs","",390,"method_scale","m2"
"Biancari, Lucio; Onatibia, Gaston R.; Gaitan, Juan J.; Aguiar, Martin R.","Coexistence of grasses and shrubs in Patagonian steppes. Norm or exception?","10.1111/jvs.13177","JOURNAL OF VEGETATION SCIENCE","grassland","South America","plot",400,NA,"exp","",390,"method_scale","m2"
"Batary, Peter; Baldi, Andras; Samu, Ferenc; Szuts, Tamas; Erdos, Sarolta","Are spiders reacting to local or landscape scale effects in Hungarian pastures?","10.1016/j.biocon.2008.06.002","BIOLOGICAL CONSERVATION","grassland","Europe","plot",5,NA,"obs","",390,"method_scale","m2"
"Auestad, Inger; Rydgren, Knut; Okland, Rune H.","Scale-dependence of vegetation-environment relationships in semi-natural grasslands","10.3170/2007-8-18344","JOURNAL OF VEGETATION SCIENCE","grassland","Europe","plot",0.25,NA,"obs","",390,"method_scale","m2"
"Cook-Patton, Susan C.; McArt, Scott H.; Parachnowitsch, Amy L.; Thaler, Jennifer S.; Agrawal, Anurag A.","A direct comparison of the consequences of plant genotypic and species diversity on communities and ecosystem function","10.1890/10-0999.1","ECOLOGY","grassland","North America","plot",NA,NA,"exp","",390,"method_scale",NA
"Ren, Haiyan; Yurkonis, Kathryn A.; Wang, Lifeng; Chang, Jiechao; Vogeler, Iris; Chen, Dima; Liu, Manqiang; Yu, Qiang","Temporal stabilizing effects of species richness and seed arrangement on grassland biomass production","10.1111/1365-2745.13895","JOURNAL OF ECOLOGY","grassland","Asia","plot",8,NA,"exp","",390,"method_scale","m2"
"Kormoczi, Laszlo; Batori, Zoltan; Erdos, Laszlo; Tolgyesi, Csaba; Zalatnai, Marta; Varro, Csaba","The role of randomization tests in vegetation boundary detection with moving split-window analysis","10.1111/jvs.12439","JOURNAL OF VEGETATION SCIENCE","grassland","Europe","plot",0.0025,NA,"obs","",390,"method_scale","m2"
"Plue, Jan; Cousins, Sara A. O.","Temporal dispersal in fragmented landscapes","10.1016/j.biocon.2013.02.010","BIOLOGICAL CONSERVATION","grassland","Europe","plot",4,NA,"exp","",390,"method_scale","m2"
"Kiss, Reka; Deak, Balazs; Tothmeresz, Bela; Miglecz, Tamas; Toth, Katalin; Torok, Peter; Lukacs, Katalin; Godo, Laura; Kormoczi, Zsofia; Radocz, Szilvia; Borza, Sandor; Kelemen, Andras; Sonkoly, Judit; Kirmer, Anita; Tischew, Sabine; Valko, Orsolya","Zoochory on and off: A field experiment for trait-based analysis of establishment success of grassland species","10.1111/jvs.13051","JOURNAL OF VEGETATION SCIENCE","grassland","Europe","plot",16,NA,"exp","",390,"method_scale","m2"
"Kiss, Reka; Deak, Balazs; Tothmeresz, Bela; Miglecz, Tamas; Toth, Katalin; Torok, Peter; Lukacs, Katalin; Godo, Laura; Kormoczi, Zsofia; Radocz, Szilvia; Borza, Sandor; Kelemen, Andras; Sonkoly, Judit; Kirmer, Anita; Tischew, Sabine; Valko, Orsolya","Zoochory on and off: A field experiment for trait-based analysis of establishment success of grassland species","10.1111/jvs.13051","JOURNAL OF VEGETATION SCIENCE","grassland","Europe","plot",20,NA,"exp","",390,"method_scale","m2"
"Rodriguez, Antonio; de Lamo, Xavier; Sebastia, Maria-Teresa","Interactions between global change components drive plant species richness patterns within communities in mountain grasslands independently of topography","10.1111/jvs.12683","JOURNAL OF VEGETATION SCIENCE","grassland","Europe","plot",100,NA,"obs","",390,"method_scale","m2"
"Hallett, Lauren M.; Hsu, Joanna S.; Cleland, Elsa E.; Collins, Scott L.; Dickson, Timothy L.; Farrer, Emily C.; Gherardi, Laureano A.; Gross, Katherine L.; Hobbs, Richard J.; Turnbull, Laura; Suding, Katharine N.","Biotic mechanisms of community stability shift along a precipitation gradient","10.1890/13-0895.1","ECOLOGY","grassland","North America","plot",1,NA,"meta","",390,"method_scale","m2"
"Okullo, Paul; Moe, Stein R.","Large herbivores maintain termite-caused differences in herbaceous species diversity patterns","10.1890/11-2011.1","ECOLOGY","grassland","Africa","plot",90,NA,"exp","min plot size",390,"method_scale","m2"
"Okullo, Paul; Moe, Stein R.","Large herbivores maintain termite-caused differences in herbaceous species diversity patterns","10.1890/11-2011.1","ECOLOGY","grassland","Africa","plot",260,NA,"exp","max plot size",390,"method_scale","m2"
"Okullo, Paul; Moe, Stein R.","Large herbivores maintain termite-caused differences in herbaceous species diversity patterns","10.1890/11-2011.1","ECOLOGY","grassland","Africa","plot",90,NA,"exp","min plot size",390,"method_scale","m2"
"Okullo, Paul; Moe, Stein R.","Large herbivores maintain termite-caused differences in herbaceous species diversity patterns","10.1890/11-2011.1","ECOLOGY","grassland","Africa","plot",260,NA,"exp","max plot size",390,"method_scale","m2"
"Li, Wenjin; Zhou, Xi; Xiang, Zhiqiang; Li, Jinhua; Wang, Shaopeng; Loreau, Michel; Jiang, Lin","Biomass temporal stability increases at two spatial scales during secondary succession","10.1111/1365-2745.14133","JOURNAL OF ECOLOGY","grassland","Asia","plot",0.25,NA,"obs","",390,"method_scale","m2"
"Steffan-Dewenter, I","Importance of habitat area and landscape context for species richness of bees and wasps in fragmented orchard meadows","10.1046/j.1523-1739.2003.01575.x","CONSERVATION BIOLOGY","grassland","Europe","plot",25,NA,"obs","",390,"method_scale","m2"
"Thomsen, Meredith A.; D'Antonio, Carla M.","Mechanisms of resistance to invasion in a California grassland: the roles of competitor identity, resource availability, and environmental gradients","10.1111/j.2006.0030-1299.14929.x","OIKOS","grassland","North America","plot",NA,NA,"exp","give distance between plots, but not the siz e of plots!!",390,"method_scale",NA
"Menard, C; Duncan, P; Fleurance, G; Georges, JY; Lila, M","Comparative foraging and nutrition of horses and cattle in European wetlands","10.1046/j.1365-2664.2002.00693.x","JOURNAL OF APPLIED ECOLOGY","grassland","Europe","plot",10000,NA,"obs","min plot size",390,"method_scale","m2"
"Menard, C; Duncan, P; Fleurance, G; Georges, JY; Lila, M","Comparative foraging and nutrition of horses and cattle in European wetlands","10.1046/j.1365-2664.2002.00693.x","JOURNAL OF APPLIED ECOLOGY","grassland","Europe","plot",40000,NA,"obs","max plot size",390,"method_scale","m2"
"Altesor, A.; Pineiro, G.; Lezama, F.; Jackson, R. B.; Sarasola, M.; Paruelo, J. M.","Ecosystem changes associated with grazing in subhumid South American grasslands","10.1658/1100-9233(2006)017[0323:ECAWGI]2.0.CO;2","JOURNAL OF VEGETATION SCIENCE","grassland","South America","plot",1000,NA,"exp","",390,"method_scale","m2"
"Barron-Gafford, Greg A.; Sanchez-Canete, Enrique P.; Minor, Rebecca L.; Hendryx, Sean M.; Lee, Esther; Sutter, Leland F.; Tran, Newton; Parra, Elizabeth; Colella, Tony; Murphy, Patrick C.; Hamerlynck, Erik P.; Kumar, Praveen; Scott, Russell L.","Impacts of hydraulic redistribution on grass-tree competition vs facilitation in a semi-arid savanna","10.1111/nph.14693","NEW PHYTOLOGIST","grassland","North America","plot",1,NA,"obs","",390,"method_scale","m2"
"Feilhauer, Hannes; Doktor, Daniel; Schmidtlein, Sebastian; Skidmore, Andrew K.","Mapping pollination types with remote sensing","10.1111/jvs.12421","JOURNAL OF VEGETATION SCIENCE","grassland","Europe","plot",4,NA,"obs","",390,"method_scale","m2"
"Kumar, Sunil; Stohlgren, Thomas J.; Chong, Geneva W.","Spatial heterogeneity influences native and nonnative plant species richness","10.1890/0012-9658(2006)87[3186:SHINAN]2.0.CO;2","ECOLOGY","grassland","North America","plot",1000,NA,"obs","",390,"method_scale","m2"
"Reitalu, T.; Prentice, H. C.; Sykes, M. T.; Lonn, M.; Johansson, L. J.; Hall, K.","Plant species segregation on different spatial scales in semi-natural grasslands","10.3170/2008-8-18381","JOURNAL OF VEGETATION SCIENCE","grassland","Europe","plot",0.25,NA,"obs","",390,"method_scale","m2"
"Lebbink, Gabrielle; Dwyer, John M.; Fensham, Roderick J.","An invasive grass species has both local and broad-scale impacts on diversity: Potential mechanisms and implications","10.1111/jvs.12974","JOURNAL OF VEGETATION SCIENCE","grassland","Oceania","plot",1000,NA,"obs","",390,"method_scale","m2"
"Schoenly, Kenneth G.; Cohen, Joel E.; Heong, Kong Luen; Litsinger, James A.; Barrion, Alberto T.; Arida, Gertrudo S.","Fallowing did not disrupt invertebrate fauna in Philippine low-pesticide irrigated rice fields","10.1111/j.1365-2664.2010.01799.x","JOURNAL OF APPLIED ECOLOGY","grassland","Asia","plot",2136,NA,"obs","rice farmlands",390,"method_scale","m2"
"Chen, Qingqing; Wang, Shaopeng; Seabloom, Eric W.; MacDougall, Andrew S.; Borer, Elizabeth T.; Bakker, Jonathan D.; Donohue, Ian; Knops, Johannes M. H.; Morgan, John W.; Carroll, Oliver; Crawley, Mick; Bugalho, Miguel N.; Power, Sally A.; Eskelinen, Anu; Virtanen, Risto; Risch, Anita C.; Schutz, Martin; Stevens, Carly; Caldeira, Maria C.; Bagchi, Sumanta; Alberti, Juan; Hautier, Yann","Nutrients and herbivores impact grassland stability across spatial scales through different pathways","10.1111/gcb.16086","GLOBAL CHANGE BIOLOGY","grassland","Global","plot",25,NA,"exp","",390,"method_scale","m2"
"Chen, Qingqing; Wang, Shaopeng; Seabloom, Eric W.; MacDougall, Andrew S.; Borer, Elizabeth T.; Bakker, Jonathan D.; Donohue, Ian; Knops, Johannes M. H.; Morgan, John W.; Carroll, Oliver; Crawley, Mick; Bugalho, Miguel N.; Power, Sally A.; Eskelinen, Anu; Virtanen, Risto; Risch, Anita C.; Schutz, Martin; Stevens, Carly; Caldeira, Maria C.; Bagchi, Sumanta; Alberti, Juan; Hautier, Yann","Nutrients and herbivores impact grassland stability across spatial scales through different pathways","10.1111/gcb.16088","GLOBAL CHANGE BIOLOGY","grassland","Global","plot",1,NA,"exp","",390,"method_scale","m2"
"Brandle, M; Stadler, J; Klotz, S; Brandl, R","Distributional range size of weedy plant species is correlated to germination patterns","10.1890/0012-9658(2003)084[0136:DRSOWP]2.0.CO;2","ECOLOGY","grassland","Europe","plot",1,NA,"obs","",390,"method_scale","m2"
"Nobis, Agnieszka; Zmihorski, Michal; Kotowska, Dorota","Linking the diversity of native flora to land cover heterogeneity and plant invasions in a river valley","10.1016/j.biocon.2016.08.032","BIOLOGICAL CONSERVATION","grassland","Europe","plot",1e+06,NA,"obs","",390,"method_scale","m2"
"Simova, Irena; Li, Yue M.; Storch, David","Relationship between species richness and productivity in plants: the role of sampling effect, heterogeneity and species pool","10.1111/1365-2745.12011","JOURNAL OF ECOLOGY","multiple","Europe","plot",25,NA,"obs","",390,"method_scale","m2"
"Berdugo, Miguel; Maestre, Fernando T.; Kefi, Sonia; Gross, Nicolas; Le Bagousse-Pinguet, Yoann; Soliveres, Santiago","Aridity preferences alter the relative importance of abiotic and biotic drivers on plant species abundance in global drylands","10.1111/1365-2745.13006","JOURNAL OF ECOLOGY","multiple","Oceania","plot",900,NA,"obs","",390,"method_scale","m2"
"Berdugo, Miguel; Maestre, Fernando T.; Kefi, Sonia; Gross, Nicolas; Le Bagousse-Pinguet, Yoann; Soliveres, Santiago","Aridity preferences alter the relative importance of abiotic and biotic drivers on plant species abundance in global drylands","10.1111/1365-2745.13006","JOURNAL OF ECOLOGY","multiple","Africa","plot",900,NA,"obs","",390,"method_scale","m2"
"Berdugo, Miguel; Maestre, Fernando T.; Kefi, Sonia; Gross, Nicolas; Le Bagousse-Pinguet, Yoann; Soliveres, Santiago","Aridity preferences alter the relative importance of abiotic and biotic drivers on plant species abundance in global drylands","10.1111/1365-2745.13006","JOURNAL OF ECOLOGY","multiple","North America","plot",900,NA,"obs","",390,"method_scale","m2"
"Berdugo, Miguel; Maestre, Fernando T.; Kefi, Sonia; Gross, Nicolas; Le Bagousse-Pinguet, Yoann; Soliveres, Santiago","Aridity preferences alter the relative importance of abiotic and biotic drivers on plant species abundance in global drylands","10.1111/1365-2745.13006","JOURNAL OF ECOLOGY","multiple","South America","plot",900,NA,"obs","",390,"method_scale","m2"
"Berdugo, Miguel; Maestre, Fernando T.; Kefi, Sonia; Gross, Nicolas; Le Bagousse-Pinguet, Yoann; Soliveres, Santiago","Aridity preferences alter the relative importance of abiotic and biotic drivers on plant species abundance in global drylands","10.1111/1365-2745.13006","JOURNAL OF ECOLOGY","multiple","Europe","plot",900,NA,"obs","",390,"method_scale","m2"
"Berdugo, Miguel; Maestre, Fernando T.; Kefi, Sonia; Gross, Nicolas; Le Bagousse-Pinguet, Yoann; Soliveres, Santiago","Aridity preferences alter the relative importance of abiotic and biotic drivers on plant species abundance in global drylands","10.1111/1365-2745.13006","JOURNAL OF ECOLOGY","multiple","Asia","plot",900,NA,"obs","",390,"method_scale","m2"
"Weed, Aaron S.; Schwarzlaender, Mark","Density dependence, precipitation and biological control agent herbivory influence landscape-scale dynamics of the invasive Eurasian plant Linaria dalmatica","10.1111/1365-2664.12226","JOURNAL OF APPLIED ECOLOGY","multiple","North America","plot",0.125,NA,"exp","",390,"method_scale","m2"
"Guerin, Greg R.; Williams, Kristen J.; Leitch, Emrys; Lowe, Andrew J.; Sparrow, Ben","Using generalised dissimilarity modelling and targeted field surveys to gap-fill an ecosystem surveillance network","10.1111/1365-2664.13814","JOURNAL OF APPLIED ECOLOGY","multiple","Oceania","plot",10000,NA,"obs","",390,"method_scale","m2"
"Gunnarsson, Urban; Soderstrom, Lars","Can artificial introductions of diaspore fragments work as a conservation tool for maintaining populations of the rare peatmoss Sphagnum angermanicum?","10.1016/j.biocon.2006.10.014","BIOLOGICAL CONSERVATION","palustrine wetland","Europe","plot",0.25,NA,"exp","",390,"method_scale","m2"
"Donath, Tobias W.; Holzel, Norbert; Otte, Annette","Influence of competition by sown grass, disturbance and litter on recruitment of rare flood-meadow species","10.1016/j.biocon.2005.12.022","BIOLOGICAL CONSERVATION","palustrine wetland","Europe","plot",5.29,NA,"exp","",390,"method_scale","m2"
"Donath, Tobias W.; Holzel, Norbert; Otte, Annette","Influence of competition by sown grass, disturbance and litter on recruitment of rare flood-meadow species","10.1016/j.biocon.2005.12.022","BIOLOGICAL CONSERVATION","palustrine wetland","Europe","plot",10.58,NA,"exp","",390,"method_scale","m2"
"Bennie, Jonathan; Anderson, Karen; Wetherelt, Andrew","Measuring biodiversity across spatial scales in a raised bog using a novel paired-sample diversity index","10.1111/j.1365-2745.2010.01762.x","JOURNAL OF ECOLOGY","palustrine wetland","Europe","plot",NA,NA,"obs","",390,"method_scale",NA
"Bissels, S; Holzel, N; Donath, TW; Otte, A","Evaluation of restoration success in alluvial grasslands under contrasting flooding regimes","10.1016/j.biocon.2003.10.013","BIOLOGICAL CONSERVATION","palustrine wetland","Europe","plot",100,NA,"obs","",390,"method_scale","m2"
"Freestone, Amy L.","Facilitation drives local abundance and regional distribution of a rare plant in a harsh environment","10.1890/0012-9658(2006)87[2728:FDLAAR]2.0.CO;2","ECOLOGY","palustrine wetland","North America","plot",1,NA,"exp","",390,"method_scale","m2"
"Freestone, Amy L.","Facilitation drives local abundance and regional distribution of a rare plant in a harsh environment","10.1890/0012-9658(2006)87[2728:FDLAAR]2.0.CO;2","ECOLOGY","palustrine wetland","North America","plot",0.09,NA,"exp","",390,"method_scale","m2"
"McPartland, Mara Y.; Kane, Evan S.; Falkowski, Michael J.; Kolka, Randy; Turetsky, Merritt R.; Palik, Brian; Montgomery, Rebecca A.","The response of boreal peatland community composition and NDVI to hydrologic change, warming, and elevated carbon dioxide","10.1111/gcb.14465","GLOBAL CHANGE BIOLOGY","palustrine wetland","North America","plot",120,NA,"exp","",390,"method_scale","m2"
"McPartland, Mara Y.; Kane, Evan S.; Falkowski, Michael J.; Kolka, Randy; Turetsky, Merritt R.; Palik, Brian; Montgomery, Rebecca A.","The response of boreal peatland community composition and NDVI to hydrologic change, warming, and elevated carbon dioxide","10.1111/gcb.14465","GLOBAL CHANGE BIOLOGY","palustrine wetland","North America","plot",1,NA,"exp","",390,"method_scale","m2"
"McPartland, Mara Y.; Kane, Evan S.; Falkowski, Michael J.; Kolka, Randy; Turetsky, Merritt R.; Palik, Brian; Montgomery, Rebecca A.","The response of boreal peatland community composition and NDVI to hydrologic change, warming, and elevated carbon dioxide","10.1111/gcb.14465","GLOBAL CHANGE BIOLOGY","palustrine wetland","North America","plot",2,NA,"exp","",390,"method_scale","m2"
"Bimova, K; Mandak, B; Kasparova, I","How does Reynoutria invasion fit the various theories of invasibility?","10.1111/j.1654-1103.2004.tb02288.x","","palustrine wetland","Europe","plot",250000,NA,"obs","",390,"method_scale","m2"
"Hulme, PE; Bremner, ET","Assessing the impact of Impatiens glandulifera on riparian habitats: partitioning diversity components following species removal","10.1111/j.1365-2664.2005.01102.x","JOURNAL OF APPLIED ECOLOGY","palustrine wetland","Europe","plot",1,NA,"exp","",390,"method_scale","m2"
"Rey, Pedro J.; Alcantara, Julio M.; Manzaneda, Antonio J.; Sanchez-Lafuente, Alfonso M.","Facilitation contributes to Mediterranean woody plant diversity but does not shape the diversity-productivity relationship along aridity gradients","10.1111/nph.13916","NEW PHYTOLOGIST","shrubland","Europe","plot",3250,NA,"obs","",390,"method_scale","m2"
"Miller, Ben P.; Perry, George L. W.; Enright, Neal J.; Lamont, Byron B.","Contrasting spatial pattern and pattern-forming processes in natural vs. restored shrublands","10.1111/j.1365-2664.2010.01816.x","JOURNAL OF APPLIED ECOLOGY","shrubland","Oceania","plot",900,NA,"obs","",390,"method_scale","m2"
"Miller, Ben P.; Perry, George L. W.; Enright, Neal J.; Lamont, Byron B.","Contrasting spatial pattern and pattern-forming processes in natural vs. restored shrublands","10.1111/j.1365-2664.2010.01816.x","JOURNAL OF APPLIED ECOLOGY","shrubland","Oceania","plot",1600,NA,"obs","",390,"method_scale","m2"
"Perry, G. L. W.; Enright, N. J.; Miller, B. P.; Lamont, B. B.","Spatial patterns in species-rich sclerophyll shrublands of southwestern Australia","10.3170/2008-8-18441","JOURNAL OF VEGETATION SCIENCE","shrubland","Oceania","plot",900,NA,"obs","",390,"method_scale","m2"
"Perry, G. L. W.; Enright, N. J.; Miller, B. P.; Lamont, B. B.","Spatial patterns in species-rich sclerophyll shrublands of southwestern Australia","10.3170/2008-8-18441","JOURNAL OF VEGETATION SCIENCE","shrubland","Oceania","plot",1600,NA,"obs","",390,"method_scale","m2"
"Hernandez-Hernandez, Raquel; Borges, Paulo A. V.; Gabriel, Rosalina; Rigal, Francois; Ah-Peng, Claudine; Maria Gonzalez-Mancebo, Juana","Scaling alpha- and beta-diversity: bryophytes along an elevational gradient on a subtropical oceanic Island (La Palma, Canary Islands)","10.1111/jvs.12573","JOURNAL OF VEGETATION SCIENCE","shrubland","Europe","plot",100,NA,"obs","",390,"method_scale","m2"
"Moran-Lopez, Teresa; Gonzalez-Castro, Aaron; Morales, Juan Manuel; Nogales, Manuel","Behavioural complementarity among frugivorous birds and lizards can promote plant diversity in island ecosystems","10.1111/1365-2435.13476","FUNCTIONAL ECOLOGY","shrubland","Europe","plot",5,NA,"exp","",390,"method_scale","m2"
"Moran-Lopez, Teresa; Gonzalez-Castro, Aaron; Morales, Juan Manuel; Nogales, Manuel","Behavioural complementarity among frugivorous birds and lizards can promote plant diversity in island ecosystems","10.1111/1365-2435.13476","FUNCTIONAL ECOLOGY","shrubland","Europe","plot",1,NA,"exp","",390,"method_scale","m2"
"Moran-Lopez, Teresa; Gonzalez-Castro, Aaron; Morales, Juan Manuel; Nogales, Manuel","Behavioural complementarity among frugivorous birds and lizards can promote plant diversity in island ecosystems","10.1111/1365-2435.13476","FUNCTIONAL ECOLOGY","shrubland","Europe","plot",2,NA,"exp","",390,"method_scale","m2"
"Hudson, James M. G.; Henry, Greg H. R.","High Arctic plant community resists 15 years of experimental warming","10.1111/j.1365-2745.2010.01690.x","JOURNAL OF ECOLOGY","shrubland","North America","plot",1,NA,"exp","",390,"method_scale","m2"
"Ojeda, Fernando; Pausas, Juli G.; Verdu, Miguel","Soil shapes community structure through fire","10.1007/s00442-009-1550-3","OECOLOGIA","shrubland","Europe","plot",NA,NA,"obs","",390,"method_scale",NA
"Hoffman, Oren; de Falco, Natalie; Yizhaq, Hezi; Boeken, Bertrand","Annual plant diversity decreases across scales following widespread ecosystem engineer shrub mortality","10.1111/jvs.12372","JOURNAL OF VEGETATION SCIENCE","shrubland","Asia","plot",81,NA,"obs","",390,"method_scale","m2"
"Bowler, Catherine H.; Shoemaker, Lauren G.; Weiss-Lehman, Christopher; Towers, Isaac R.; Mayfield, Margaret M.","Positive effects of exotic species dampened by neighborhood heterogeneity","10.1002/ecy.3779","ECOLOGY","shrubland","Oceania","plot",1,NA,"obs","",390,"method_scale","m2"
"Jordan, Samuel E.; Palmquist, Kyle A.; Bradford, John B.; Lauenroth, William K.","Soil water availability shapes species richness in mid-latitude shrub steppe plant communities","10.1111/jvs.12874","JOURNAL OF VEGETATION SCIENCE","shrubland","North America","plot",1000,NA,"obs","",390,"method_scale","m2"
"Renne, Rachel R.; Schlaepfer, Daniel R.; Palmquist, Kyle A.; Bradford, John B.; Burke, Ingrid C.; Lauenroth, William K.","Soil and stand structure explain shrub mortality patterns following global change-type drought and extreme precipitation","10.1002/ecy.2889","ECOLOGY","shrubland","North America","plot",100,NA,"sim","",390,"method_scale","m2"
"Pratt, Jessica D.; Datu, Andrew; Thi Tran; Sheng, Daniel C.; Mooney, Kailen A.","Genetically based latitudinal clines in Artemisia californica drive parallel clines in arthropod communities","10.1002/ecy.1620","ECOLOGY","shrubland","North America","plot",30,NA,"exp","",390,"method_scale","m2"
"Chai, Yongfu; Zhong, Jiayi; Zhao, Jiale; Guo, Jiangchao; Yue, Ming; Guo, Yaoxin; Wang, Mao; Wan, Pengcheng","Environment and plant traits explain shrub biomass allocation and species composition across ecoregions in North China","10.1111/jvs.13080","JOURNAL OF VEGETATION SCIENCE","shrubland","Asia","plot",625,NA,"obs","",390,"method_scale","m2"
"Escobedo, Victor M.; Rios, Rodrigo S.; Gianoli, Ernesto","Interactive effects of shading and disturbance on plant invasion in an arid shrubland: Assembly processes and CSR-strategies","10.1111/1365-2745.13650","JOURNAL OF ECOLOGY","shrubland","South America","plot",0.36,NA,"obs","",390,"method_scale","m2"
"Escobedo, Victor M.; Rios, Rodrigo S.; Gianoli, Ernesto","Interactive effects of shading and disturbance on plant invasion in an arid shrubland: Assembly processes and CSR-strategies","10.1111/1365-2745.13650","JOURNAL OF ECOLOGY","shrubland","South America","plot",100,NA,"obs","",390,"method_scale","m2"
"Dullinger, S; Dirnbock, T; Greimler, J; Grabherr, G","A resampling approach for evaluating effects of pasture abandonment on subalpine plant species diversity","10.1111/j.1654-1103.2003.tb02149.x","JOURNAL OF VEGETATION SCIENCE","shrubland","Europe","plot",150,NA,"obs","",390,"method_scale","m2"
"Benayas, JMR; Scheiner, SM","Plant diversity, biogeography and environment in Iberia: Patterns and possible causal factors","10.1111/j.1654-1103.2002.tb02045.x","JOURNAL OF VEGETATION SCIENCE","shrubland","Europe","plot",20,NA,"obs","",390,"method_scale","m2"
"Benayas, JMR; Scheiner, SM","Plant diversity, biogeography and environment in Iberia: Patterns and possible causal factors","10.1111/j.1654-1103.2002.tb02045.x","JOURNAL OF VEGETATION SCIENCE","shrubland","Europe","plot",200,NA,"obs","",390,"method_scale","m2"
