"authors","title","doi","journal","habitat","region","scale_name","scale_size_m2","scale_size_km","type_study","notes"
"Baldeck, C. A.; Kembel, S. W.; Harms, K. E.; Yavitt, J. B.; John, R.; Turner, B. L.; Madawala, S.; Gunatilleke, N.; Gunatilleke, S.; Bunyavejchewin, S.; Kiratiprayoon, S.; Yaacob, A.; Supardi, M. N. N.; Valencia, R.; Navarrete, H.; Davies, S. J.; Chuyong, G. B.; Kenfack, D.; Thomas, D. W.; Dalling, J. W.","Phylogenetic turnover along local environmental gradients in tropical forest communities","10.1007/s00442-016-3686-2","OECOLOGIA","forest","Global","plot",240000,NA,"obs",""
"Baldeck, C. A.; Kembel, S. W.; Harms, K. E.; Yavitt, J. B.; John, R.; Turner, B. L.; Madawala, S.; Gunatilleke, N.; Gunatilleke, S.; Bunyavejchewin, S.; Kiratiprayoon, S.; Yaacob, A.; Supardi, M. N. N.; Valencia, R.; Navarrete, H.; Davies, S. J.; Chuyong, G. B.; Kenfack, D.; Thomas, D. W.; Dalling, J. W.","Phylogenetic turnover along local environmental gradients in tropical forest communities","10.1007/s00442-016-3686-2","OECOLOGIA","forest","Global","plot",5e+05,NA,"obs",""
"Baldeck, C. A.; Kembel, S. W.; Harms, K. E.; Yavitt, J. B.; John, R.; Turner, B. L.; Madawala, S.; Gunatilleke, N.; Gunatilleke, S.; Bunyavejchewin, S.; Kiratiprayoon, S.; Yaacob, A.; Supardi, M. N. N.; Valencia, R.; Navarrete, H.; Davies, S. J.; Chuyong, G. B.; Kenfack, D.; Thomas, D. W.; Dalling, J. W.","Phylogenetic turnover along local environmental gradients in tropical forest communities","10.1007/s00442-016-3686-2","OECOLOGIA","forest","Global","quadrat",400,NA,"obs",""
"Arellano, Gabriel; Tello, J. Sebastian; Jorgensen, Peter M.; Fuentes, Alfredo F.; Isabel Loza, M.; Torrez, Vania; Macia, Manuel J.","Disentangling environmental and spatial processes of community assembly in tropical forests from local to regional scales","10.1111/oik.02426","OIKOS","forest","South America","local",2.56e+08,NA,"obs",""
"Arellano, Gabriel; Tello, J. Sebastian; Jorgensen, Peter M.; Fuentes, Alfredo F.; Isabel Loza, M.; Torrez, Vania; Macia, Manuel J.","Disentangling environmental and spatial processes of community assembly in tropical forests from local to regional scales","10.1111/oik.02426","OIKOS","forest","South America","regional",1.76e+10,NA,"obs",""
"Arellano, Gabriel; Tello, J. Sebastian; Jorgensen, Peter M.; Fuentes, Alfredo F.; Isabel Loza, M.; Torrez, Vania; Macia, Manuel J.","Disentangling environmental and spatial processes of community assembly in tropical forests from local to regional scales","10.1111/oik.02426","OIKOS","forest","South America","plot",1000,NA,"obs",""
"Inclan, Diego J.; Cerretti, Pierfilippo; Gabriel, Doreen; Benton, Tim G.; Sait, Steven M.; Kunin, William E.; Gillespie, Mark A. K.; Marini, Lorenzo","Organic farming enhances parasitoid diversity at the local and landscape scales","10.1111/1365-2664.12457","JOURNAL OF APPLIED ECOLOGY","grassland","Europe","landscape",1e+08,NA,"obs",""
"Freestone, AL; Harrison, S","Regional enrichment of local assemblages is robust to variation in local productivity, abiotic gradients, and heterogeneity","10.1111/j.1461-0248.2005.00849.x","ECOLOGY LETTERS","palustrine wetland","North America","local",1,NA,"obs",""
"Freestone, AL; Harrison, S","Regional enrichment of local assemblages is robust to variation in local productivity, abiotic gradients, and heterogeneity","10.1111/j.1461-0248.2005.00849.x","ECOLOGY LETTERS","palustrine wetland","North America","local",NA,0.05,"obs",""
"Freestone, AL; Harrison, S","Regional enrichment of local assemblages is robust to variation in local productivity, abiotic gradients, and heterogeneity","10.1111/j.1461-0248.2005.00849.x","ECOLOGY LETTERS","palustrine wetland","North America","regional",NA,NA,"obs",""
"Larkin, Michelle; Stanley, Dara A.","Impacts of management at a local and landscape scale on pollinators in semi-natural grasslands","10.1111/1365-2664.13990","JOURNAL OF APPLIED ECOLOGY","grassland","Europe","landscape",12566371,NA,"obs",""
"Larkin, Michelle; Stanley, Dara A.","Impacts of management at a local and landscape scale on pollinators in semi-natural grasslands","10.1111/1365-2664.13990","JOURNAL OF APPLIED ECOLOGY","grassland","Europe","local",NA,NA,"obs",""
"Wang, Xugao; Wiegand, Thorsten; Swenson, Nathan G.; Wolf, Amy T.; Howe, Robert W.; Hao, Zhanqing; Lin, Fei; Ye, Ji; Yuan, Zuoqiang","Mechanisms underlying local functional and phylogenetic beta diversity in two temperate forests","10.1890/14-0392.1","ECOLOGY","forest","Asia","neighbourhood",NA,0.02,"sim",""
"Wang, Xugao; Wiegand, Thorsten; Swenson, Nathan G.; Wolf, Amy T.; Howe, Robert W.; Hao, Zhanqing; Lin, Fei; Ye, Ji; Yuan, Zuoqiang","Mechanisms underlying local functional and phylogenetic beta diversity in two temperate forests","10.1890/14-0392.1","ECOLOGY","forest","Asia","local",NA,0.001,"sim",""
"Wang, Xugao; Wiegand, Thorsten; Swenson, Nathan G.; Wolf, Amy T.; Howe, Robert W.; Hao, Zhanqing; Lin, Fei; Ye, Ji; Yuan, Zuoqiang","Mechanisms underlying local functional and phylogenetic beta diversity in two temperate forests","10.1890/14-0392.1","ECOLOGY","forest","Asia","local",NA,0.25,"sim",""
