"authors","title","doi","journal","habitat","region","scale_name","scale_size_m2","scale_size_km","type_study","notes"
"Youngblood, Andrew; Metlen, Kerry L.; Coe, Kent","Changes in stand structure and composition after restoration treatments in low elevation dry forests of northeastern Oregon","10.1016/j.foreco.2006.06.033","FOREST ECOLOGY AND MANAGEMENT","forest","North America","area",9.4e+07,NA,"exp",""
"Okland, B; Gotmark, F; Norden, B; Franc, N; Kurina, O; Polevoi, A","Regional diversity of mycetophilids (Diptera : Sciaroidea) in Scandinavian oak-dominated forests","10.1016/j.biocon.2004.04.005","BIOLOGICAL CONSERVATION","forest","Europe","area",4.2e+10,NA,"obs","insect traps"
"Xiang, Dan; Verbruggen, Erik; Hu, Yajun; Veresoglou, Stavros D.; Rillig, Matthias C.; Zhou, Wenping; Xu, Tianle; Li, Huan; Hao, Zhipeng; Chen, Yongliang; Chen, Baodong","Land use influences arbuscular mycorrhizal fungal communities in the farming-pastoral ecotone of northern China","10.1111/nph.12961","NEW PHYTOLOGIST","grassland","Asia","area",100,NA,"obs",""
"Brandle, M; Stadler, J; Klotz, S; Brandl, R","Distributional range size of weedy plant species is correlated to germination patterns","10.1890/0012-9658(2003)084[0136:DRSOWP]2.0.CO;2","ECOLOGY","grassland","Europe","area",400,NA,"obs",""
"Neuenkamp, Lena; Lewis, Rob John; Koorem, Kadri; Zobel, Kristjan; Zobel, Martin","Changes in dispersal and light capturing traits explain post-abandonment community change in semi-natural grasslands","10.1111/jvs.12449","JOURNAL OF VEGETATION SCIENCE","grassland","Europe","area",1500000,NA,"obs",""
"Harrison, Susan; Cornell, Howard; Moore, Kara A.","Spatial niches and coexistence: testing theory with tarweeds","10.1890/09-0742.1","ECOLOGY","grassland","North America","area",330000,NA,"obs",""
"Ares, J; Del Valle, H; Bisigato, A","Detection of process-related changes in plant patterns at extended spatial scales during early dryland desertification","10.1046/j.1365-2486.2003.00690.x","GLOBAL CHANGE BIOLOGY","shrubland","South America","area",3e+08,NA,"obs",""
"Baez, Selene; Homeier, Juergen","Functional traits determine tree growth and ecosystem productivity of a tropical montane forest: Insights from a long-term nutrient manipulation experiment","10.1111/gcb.13905","GLOBAL CHANGE BIOLOGY","forest","South America","block",1600,NA,"exp",""
"Chen, Qingqing; Wang, Shaopeng; Seabloom, Eric W.; MacDougall, Andrew S.; Borer, Elizabeth T.; Bakker, Jonathan D.; Donohue, Ian; Knops, Johannes M. H.; Morgan, John W.; Carroll, Oliver; Crawley, Mick; Bugalho, Miguel N.; Power, Sally A.; Eskelinen, Anu; Virtanen, Risto; Risch, Anita C.; Schutz, Martin; Stevens, Carly; Caldeira, Maria C.; Bagchi, Sumanta; Alberti, Juan; Hautier, Yann","Nutrients and herbivores impact grassland stability across spatial scales through different pathways","10.1111/gcb.16085","GLOBAL CHANGE BIOLOGY","grassland","Global","block",320,NA,"exp",""
"Carmona, Carlos P.; Guerrero, Irene; Peco, Begona; Morales, Manuel B.; Onate, Juan J.; Part, Tomas; Tscharntke, Teja; Liira, Jaan; Aavik, Tsipe; Emmerson, Mark C.; Berendse, Frank; Ceryngier, Piotr; Bretagnolle, Vincent; Weisser, Wolfgang W.; Bengtsson, Jan","Agriculture intensification reduces plant taxonomic and functional diversity across European arable systems","10.1111/1365-2435.13608","FUNCTIONAL ECOLOGY","grassland","Europe","field",10000,NA,"obs","min size"
"Carmona, Carlos P.; Guerrero, Irene; Peco, Begona; Morales, Manuel B.; Onate, Juan J.; Part, Tomas; Tscharntke, Teja; Liira, Jaan; Aavik, Tsipe; Emmerson, Mark C.; Berendse, Frank; Ceryngier, Piotr; Bretagnolle, Vincent; Weisser, Wolfgang W.; Bengtsson, Jan","Agriculture intensification reduces plant taxonomic and functional diversity across European arable systems","10.1111/1365-2435.13608","FUNCTIONAL ECOLOGY","grassland","Europe","field",1e+06,NA,"obs","max size"
"Norghauer, Julian M.; Malcolm, Jay R.; Zimmerman, Barbara L.","Canopy cover mediates interactions between a specialist caterpillar and seedlings of a neotropical tree","10.1111/j.1365-2745.2007.01325.x","JOURNAL OF ECOLOGY","forest","South America","gap",NA,0.006,"exp","they plant seeds in specific shadow gaps sites"
"Mittelbach, GG; Steiner, CF; Scheiner, SM; Gross, KL; Reynolds, HL; Waide, RB; Willig, MR; Dodson, SI; Gough, L","What is the observed relationship between species richness and productivity?","","ECOLOGY","multiple",NA,"global",NA,4000,"meta",""
"Arroyo-Rodriguez, Victor; Roes, Matthias; Escobar, Federico; Melo, Felipe P. L.; Santos, Braulio A.; Tabarelli, Marcelo; Chazdon, Robin","Plant beta-diversity in fragmented rain forests: testing floristic homogenization and differentiation hypotheses","10.1111/1365-2745.12153","JOURNAL OF ECOLOGY","forest","North America","landscape",NA,NA,"obs",""
"Grigulis, K; Lavorel, S; Davies, ID; Dossantos, A; Lloret, F; Vila, M","Landscape-scale positive feedbacks between fire and expansion of the large tussock grass, Ampelodesmos mauritanica in Catalan shrublands","10.1111/j.1365-2486.2005.00980.x","GLOBAL CHANGE BIOLOGY","forest","Europe","landscape",1e+06,NA,"obs",""
"Sheffer, Efrat; Canham, Charles D.; Kigel, Jaime; Perevolotsky, Avi","Landscape-scale density-dependent recruitment of oaks in planted forests: More is not always better","10.1890/12-2121.1","ECOLOGY","forest","Europe","landscape",2.21e+10,NA,"obs",""
"Hevia, Violeta; Carmona, Carlos P.; Azcarate, Francisco M.; Torralba, Mario; Alcorlo, Paloma; Arino, Ruben; Lozano, Jorge; Castro-Cobo, Sara; Gonzalez, Jose A.","Effects of land use on taxonomic and functional diversity: a cross-taxon analysis in a Mediterranean landscape","10.1007/s00442-015-3512-2","OECOLOGIA","forest","Europe","landscape",281230000,NA,"obs",""
"Rejou-Mechain, Maxime; Flores, Olivier; Bourland, Nils; Doucet, Jean-Louis; Feteke, Richard F.; Pasquier, Alexandra; Hardy, Olivier J.","Spatial aggregation of tropical trees at multiple spatial scales","10.1111/j.1365-2745.2011.01873.x","JOURNAL OF ECOLOGY","forest","Africa","landscape",NA,10,"obs","min size"
"Rejou-Mechain, Maxime; Flores, Olivier; Bourland, Nils; Doucet, Jean-Louis; Feteke, Richard F.; Pasquier, Alexandra; Hardy, Olivier J.","Spatial aggregation of tropical trees at multiple spatial scales","10.1111/j.1365-2745.2011.01873.x","JOURNAL OF ECOLOGY","forest","Africa","landscape",NA,80,"obs","max size"
"Kumar, Sunil; Stohlgren, Thomas J.; Chong, Geneva W.","Spatial heterogeneity influences native and nonnative plant species richness","10.1890/0012-9658(2006)87[3186:SHINAN]2.0.CO;2","ECOLOGY","forest","North America","landscape",45000,NA,"obs",""
"Kumar, Sunil; Stohlgren, Thomas J.; Chong, Geneva W.","Spatial heterogeneity influences native and nonnative plant species richness","10.1890/0012-9658(2006)87[3186:SHINAN]2.0.CO;2","ECOLOGY","forest","North America","landscape",180000,NA,"obs",""
"Kumar, Sunil; Stohlgren, Thomas J.; Chong, Geneva W.","Spatial heterogeneity influences native and nonnative plant species richness","10.1890/0012-9658(2006)87[3186:SHINAN]2.0.CO;2","ECOLOGY","forest","North America","landscape",720000,NA,"obs",""
"Kumar, Sunil; Stohlgren, Thomas J.; Chong, Geneva W.","Spatial heterogeneity influences native and nonnative plant species richness","10.1890/0012-9658(2006)87[3186:SHINAN]2.0.CO;2","ECOLOGY","forest","North America","landscape",2900000,NA,"obs",""
"Vanbergen, Adam J.; Watt, Allan D.; Mitchell, Ruth; Truscott, Anne-Marie; Palmer, Stephen C. F.; Ivits, Eva; Eggleton, Paul; Jones, T. Hefin; Sousa, Jose Paulo","Scale-specific correlations between habitat heterogeneity and soil fauna diversity along a landscape structure gradient","10.1007/s00442-007-0766-3","OECOLOGIA","forest","Europe","landscape",1e+06,NA,"obs",""
"Buler, Jeffrey J.; Moore, Frank R.; Woltmann, Stefan","A multi-scale examination of stopover habitat use by birds","10.1890/06-1871.1","ECOLOGY","forest","North America","landscape",225000,NA,"obs","birds consider remove"
"Dobert, Timm F.; Webber, Bruce L.; Sugau, John B.; Dickinson, Katharine J. M.; Didham, Raphael K.","Logging increases the functional and phylogenetic dispersion of understorey plant communities in tropical lowland rain forest","10.1111/1365-2745.12792","JOURNAL OF ECOLOGY","forest","Asia","landscape",992951,NA,"obs",""
"Schweiger, O; Maelfait, JP; Van Wingerden, W; Hendrickx, F; Billeter, R; Speelmans, M; Augenstein, I; Aukema, B; Aviron, S; Bailey, D; Bukacek, R; Burel, F; Diekotter, T; Dirksen, J; Frenzel, M; Herzog, F; Liira, J; Roubalova, M; Bugter, R","Quantifying the impact of environmental factors on arthropod communities in agricultural landscapes across organizational levels and spatial scales","10.1111/j.1365-2664.2005.01085.x","JOURNAL OF APPLIED ECOLOGY","forest","Europe","landscape",1.6e+07,NA,"obs",""
"Kumar, Sunil; Stohlgren, Thomas J.; Chong, Geneva W.","Spatial heterogeneity influences native and nonnative plant species richness","10.1890/0012-9658(2006)87[3186:SHINAN]2.0.CO;2","ECOLOGY","grassland","North America","landscape",45000,NA,"obs",""
"Kumar, Sunil; Stohlgren, Thomas J.; Chong, Geneva W.","Spatial heterogeneity influences native and nonnative plant species richness","10.1890/0012-9658(2006)87[3186:SHINAN]2.0.CO;2","ECOLOGY","grassland","North America","landscape",180000,NA,"obs",""
"Kumar, Sunil; Stohlgren, Thomas J.; Chong, Geneva W.","Spatial heterogeneity influences native and nonnative plant species richness","10.1890/0012-9658(2006)87[3186:SHINAN]2.0.CO;2","ECOLOGY","grassland","North America","landscape",720000,NA,"obs",""
"Kumar, Sunil; Stohlgren, Thomas J.; Chong, Geneva W.","Spatial heterogeneity influences native and nonnative plant species richness","10.1890/0012-9658(2006)87[3186:SHINAN]2.0.CO;2","ECOLOGY","grassland","North America","landscape",2900000,NA,"obs",""
"Reitalu, T.; Prentice, H. C.; Sykes, M. T.; Lonn, M.; Johansson, L. J.; Hall, K.","Plant species segregation on different spatial scales in semi-natural grasslands","10.3170/2008-8-18381","JOURNAL OF VEGETATION SCIENCE","grassland","Europe","landscape",20250000,NA,"obs",""
"Carmona, Carlos P.; Guerrero, Irene; Peco, Begona; Morales, Manuel B.; Onate, Juan J.; Part, Tomas; Tscharntke, Teja; Liira, Jaan; Aavik, Tsipe; Emmerson, Mark C.; Berendse, Frank; Ceryngier, Piotr; Bretagnolle, Vincent; Weisser, Wolfgang W.; Bengtsson, Jan","Agriculture intensification reduces plant taxonomic and functional diversity across European arable systems","10.1111/1365-2435.13608","FUNCTIONAL ECOLOGY","grassland","Europe","landscape",1e+06,NA,"obs","min size"
"Carmona, Carlos P.; Guerrero, Irene; Peco, Begona; Morales, Manuel B.; Onate, Juan J.; Part, Tomas; Tscharntke, Teja; Liira, Jaan; Aavik, Tsipe; Emmerson, Mark C.; Berendse, Frank; Ceryngier, Piotr; Bretagnolle, Vincent; Weisser, Wolfgang W.; Bengtsson, Jan","Agriculture intensification reduces plant taxonomic and functional diversity across European arable systems","10.1111/1365-2435.13608","FUNCTIONAL ECOLOGY","grassland","Europe","landscape",1588750,NA,"obs","max size"
"Schweiger, O; Maelfait, JP; Van Wingerden, W; Hendrickx, F; Billeter, R; Speelmans, M; Augenstein, I; Aukema, B; Aviron, S; Bailey, D; Bukacek, R; Burel, F; Diekotter, T; Dirksen, J; Frenzel, M; Herzog, F; Liira, J; Roubalova, M; Bugter, R","Quantifying the impact of environmental factors on arthropod communities in agricultural landscapes across organizational levels and spatial scales","10.1111/j.1365-2664.2005.01085.x","JOURNAL OF APPLIED ECOLOGY","grassland","Europe","landscape",1.6e+07,NA,"obs",""
"Mittelbach, GG; Steiner, CF; Scheiner, SM; Gross, KL; Reynolds, HL; Waide, RB; Willig, MR; Dodson, SI; Gough, L","What is the observed relationship between species richness and productivity?","","ECOLOGY","multiple",NA,"landscape",NA,20,"meta",""
"Mittelbach, GG; Steiner, CF; Scheiner, SM; Gross, KL; Reynolds, HL; Waide, RB; Willig, MR; Dodson, SI; Gough, L","What is the observed relationship between species richness and productivity?","","ECOLOGY","multiple",NA,"landscape",NA,200,"meta",""
"Grigulis, K; Lavorel, S; Davies, ID; Dossantos, A; Lloret, F; Vila, M","Landscape-scale positive feedbacks between fire and expansion of the large tussock grass, Ampelodesmos mauritanica in Catalan shrublands","10.1111/j.1365-2486.2005.00980.x","GLOBAL CHANGE BIOLOGY","shrubland","Europe","landscape",1e+06,NA,"obs",""
"Hevia, Violeta; Carmona, Carlos P.; Azcarate, Francisco M.; Torralba, Mario; Alcorlo, Paloma; Arino, Ruben; Lozano, Jorge; Castro-Cobo, Sara; Gonzalez, Jose A.","Effects of land use on taxonomic and functional diversity: a cross-taxon analysis in a Mediterranean landscape","10.1007/s00442-015-3512-2","OECOLOGIA","shrubland","Europe","landscape",281230000,NA,"obs",""
"Kumar, Sunil; Stohlgren, Thomas J.; Chong, Geneva W.","Spatial heterogeneity influences native and nonnative plant species richness","10.1890/0012-9658(2006)87[3186:SHINAN]2.0.CO;2","ECOLOGY","shrubland","North America","landscape",45000,NA,"obs",""
"Kumar, Sunil; Stohlgren, Thomas J.; Chong, Geneva W.","Spatial heterogeneity influences native and nonnative plant species richness","10.1890/0012-9658(2006)87[3186:SHINAN]2.0.CO;2","ECOLOGY","shrubland","North America","landscape",180000,NA,"obs",""
"Kumar, Sunil; Stohlgren, Thomas J.; Chong, Geneva W.","Spatial heterogeneity influences native and nonnative plant species richness","10.1890/0012-9658(2006)87[3186:SHINAN]2.0.CO;2","ECOLOGY","shrubland","North America","landscape",720000,NA,"obs",""
"Kumar, Sunil; Stohlgren, Thomas J.; Chong, Geneva W.","Spatial heterogeneity influences native and nonnative plant species richness","10.1890/0012-9658(2006)87[3186:SHINAN]2.0.CO;2","ECOLOGY","shrubland","North America","landscape",2900000,NA,"obs",""
"Schweiger, O; Maelfait, JP; Van Wingerden, W; Hendrickx, F; Billeter, R; Speelmans, M; Augenstein, I; Aukema, B; Aviron, S; Bailey, D; Bukacek, R; Burel, F; Diekotter, T; Dirksen, J; Frenzel, M; Herzog, F; Liira, J; Roubalova, M; Bugter, R","Quantifying the impact of environmental factors on arthropod communities in agricultural landscapes across organizational levels and spatial scales","10.1111/j.1365-2664.2005.01085.x","JOURNAL OF APPLIED ECOLOGY","shrubland","Europe","landscape",1.6e+07,NA,"obs",""
"He, Dong; Biswas, Shekhar R.","Negative relationship between interspecies spatial association and trait dissimilarity","10.1111/oik.05876","OIKOS","forest","Asia","large-scale",5024,NA,"obs","they call this scale also patch"
"Nobis, Agnieszka; Zmihorski, Michal; Kotowska, Dorota","Linking the diversity of native flora to land cover heterogeneity and plant invasions in a river valley","10.1016/j.biocon.2016.08.032","BIOLOGICAL CONSERVATION","forest","Europe","large-scale",1.4e+07,NA,"obs",""
"Lebbink, Gabrielle; Dwyer, John M.; Fensham, Roderick J.","An invasive grass species has both local and broad-scale impacts on diversity: Potential mechanisms and implications","10.1111/jvs.12973","JOURNAL OF VEGETATION SCIENCE","grassland","Oceania","large-scale",1000,NA,"obs",""
"Chen, Qingqing; Wang, Shaopeng; Seabloom, Eric W.; MacDougall, Andrew S.; Borer, Elizabeth T.; Bakker, Jonathan D.; Donohue, Ian; Knops, Johannes M. H.; Morgan, John W.; Carroll, Oliver; Crawley, Mick; Bugalho, Miguel N.; Power, Sally A.; Eskelinen, Anu; Virtanen, Risto; Risch, Anita C.; Schutz, Martin; Stevens, Carly; Caldeira, Maria C.; Bagchi, Sumanta; Alberti, Juan; Hautier, Yann","Nutrients and herbivores impact grassland stability across spatial scales through different pathways","10.1111/gcb.16084","GLOBAL CHANGE BIOLOGY","grassland","Global","large-scale",1000,NA,"exp",""
"Nobis, Agnieszka; Zmihorski, Michal; Kotowska, Dorota","Linking the diversity of native flora to land cover heterogeneity and plant invasions in a river valley","10.1016/j.biocon.2016.08.032","BIOLOGICAL CONSERVATION","grassland","Europe","large-scale",1.4e+07,NA,"obs",""
"Lang, Simone I.; Cornelissen, Johannes H. C.; Hoelzer, Adam; ter Braak, Cajo J. F.; Ahrens, Matthias; Callaghan, Terry V.; Aerts, Rien","Determinants of cryptogam composition and diversity in Sphagnum-dominated peatlands: the importance of temporal, spatial and functional scales","10.1111/j.1365-2745.2008.01472.x","JOURNAL OF ECOLOGY","palustrine wetland","Europe","large-scale",3.75,120,"obs","cryptogams includes plants without seeds (bryophytes, ferns) the name of the scale is most likely due to distance between sites (km) than total sampled surface (m2)"
"Nobis, Agnieszka; Zmihorski, Michal; Kotowska, Dorota","Linking the diversity of native flora to land cover heterogeneity and plant invasions in a river valley","10.1016/j.biocon.2016.08.032","BIOLOGICAL CONSERVATION","shrubland","Europe","large-scale",1.4e+07,NA,"obs",""
"Odland, M. C.; Goodwin, M. J.; Smithers, B., V; Hurteau, M. D.; North, M. P.","Plant community response to thinning and repeated fire in Sierra Nevada mixed-conifer forest understories","10.1016/j.foreco.2021.119361","FOREST ECOLOGY AND MANAGEMENT","forest",NA,"local",10,NA,"exp",""
"Wardle, David A.; Bellingham, Peter J.; Kardol, Paul; Giesler, Reiner; Tanner, Edmund V. J.","Coordination of aboveground and belowground responses to local-scale soil fertility differences between two contrasting Jamaican rain forest types","10.1111/oik.01584","OIKOS","forest","South America","local",100,NA,"obs","They use the specific word 'plot' then say that this is a 'local' scale"
"Rejou-Mechain, Maxime; Flores, Olivier; Bourland, Nils; Doucet, Jean-Louis; Feteke, Richard F.; Pasquier, Alexandra; Hardy, Olivier J.","Spatial aggregation of tropical trees at multiple spatial scales","10.1111/j.1365-2745.2011.01873.x","JOURNAL OF ECOLOGY","forest","Africa","local",NA,0.2,"obs","min size"
"Rejou-Mechain, Maxime; Flores, Olivier; Bourland, Nils; Doucet, Jean-Louis; Feteke, Richard F.; Pasquier, Alexandra; Hardy, Olivier J.","Spatial aggregation of tropical trees at multiple spatial scales","10.1111/j.1365-2745.2011.01873.x","JOURNAL OF ECOLOGY","forest","Africa","local",NA,1,"obs","max size"
"Barbato, Debora; Benocci, Andrea; Manganelli, Giuseppe","Does forest age affect soil biodiversity? Case study of land snails in Mediterranean secondary forests","10.1016/j.foreco.2019.117693","FOREST ECOLOGY AND MANAGEMENT","forest","Europe","local",100,NA,"obs",""
"Medina, Nagore G.; Bowker, Matthew A.; Hortal, Joaquin; Mazimpaka, Vicente; Lara, Francisco","Shifts in the importance of the species pool and environmental controls of epiphytic bryophyte richness across multiple scales","10.1007/s00442-018-4066-x","OECOLOGIA","forest","Europe","local",3.2,NA,"obs",""
"Vanbergen, Adam J.; Watt, Allan D.; Mitchell, Ruth; Truscott, Anne-Marie; Palmer, Stephen C. F.; Ivits, Eva; Eggleton, Paul; Jones, T. Hefin; Sousa, Jose Paulo","Scale-specific correlations between habitat heterogeneity and soil fauna diversity along a landscape structure gradient","10.1007/s00442-007-0766-3","OECOLOGIA","forest","Europe","local",200,NA,"obs","max size"
"Dobert, Timm F.; Webber, Bruce L.; Sugau, John B.; Dickinson, Katharine J. M.; Didham, Raphael K.","Logging increases the functional and phylogenetic dispersion of understorey plant communities in tropical lowland rain forest","10.1111/1365-2745.12793","JOURNAL OF ECOLOGY","forest","Asia","local",995,NA,"obs",""
"Villar, Nacho; Siqueira, Tadeu; Zipparro, Valesca; Farah, Fabiano; Schmaedecke, Gabriela; Hortenci, Luana; Brocardo, Carlos Rodrigo; Jordano, Pedro; Galetti, Mauro","The cryptic regulation of diversity by functionally complementary large tropical forest herbivores","10.1111/1365-2745.13259","JOURNAL OF ECOLOGY","forest","South America","local",15,NA,"exp",""
"Nobis, Agnieszka; Zmihorski, Michal; Kotowska, Dorota","Linking the diversity of native flora to land cover heterogeneity and plant invasions in a river valley","10.1016/j.biocon.2016.08.032","BIOLOGICAL CONSERVATION","forest","Europe","local",1e+06,NA,"obs",""
"Baez, Selene; Homeier, Juergen","Functional traits determine tree growth and ecosystem productivity of a tropical montane forest: Insights from a long-term nutrient manipulation experiment","10.1111/gcb.13905","GLOBAL CHANGE BIOLOGY","forest","South America","local",400,NA,"exp",""
"Schweiger, O; Maelfait, JP; Van Wingerden, W; Hendrickx, F; Billeter, R; Speelmans, M; Augenstein, I; Aukema, B; Aviron, S; Bailey, D; Bukacek, R; Burel, F; Diekotter, T; Dirksen, J; Frenzel, M; Herzog, F; Liira, J; Roubalova, M; Bugter, R","Quantifying the impact of environmental factors on arthropod communities in agricultural landscapes across organizational levels and spatial scales","10.1111/j.1365-2664.2005.01085.x","JOURNAL OF APPLIED ECOLOGY","forest","Europe","local",7850,NA,"obs",""
"Visser, Marco D.; Muller-Landau, Helene C.; Wright, S. Joseph; Rutten, Gemma; Jansen, Patrick A.","Tri-trophic interactions affect density dependence of seed fate in a tropical forest palm","10.1111/j.1461-0248.2011.01677.x","ECOLOGY LETTERS","forest","North America","local",40000,NA,"obs",""
"Zellweger, Florian; Braunisch, Veronika; Morsdorf, Felix; Baltensweiler, Andri; Abegg, Meinrad; Roth, Tobias; Bugmann, Harald; Bollmann, Kurt","Disentangling the effects of climate, topography, soil and vegetation on stand-scale species richness in temperate forests","10.1016/j.foreco.2015.04.008","FOREST ECOLOGY AND MANAGEMENT","forest","Europe","local",10,NA,"obs",""
"Manzo, Luz M.; Epele, Luis B.; Grech, Marta G.; Kutschker, Adriana M.; Miserendino, Maria L.","Which regionalization scheme is the best to predict wetland plant distribution in Western Patagonia?","10.1111/jvs.13157","JOURNAL OF VEGETATION SCIENCE","grassland","South America","local",6.25,NA,"obs","wetlands"
"Lebbink, Gabrielle; Dwyer, John M.; Fensham, Roderick J.","An invasive grass species has both local and broad-scale impacts on diversity: Potential mechanisms and implications","10.1111/jvs.12972","JOURNAL OF VEGETATION SCIENCE","grassland","Oceania","local",1,NA,"obs",""
"Chen, Qingqing; Wang, Shaopeng; Seabloom, Eric W.; MacDougall, Andrew S.; Borer, Elizabeth T.; Bakker, Jonathan D.; Donohue, Ian; Knops, Johannes M. H.; Morgan, John W.; Carroll, Oliver; Crawley, Mick; Bugalho, Miguel N.; Power, Sally A.; Eskelinen, Anu; Virtanen, Risto; Risch, Anita C.; Schutz, Martin; Stevens, Carly; Caldeira, Maria C.; Bagchi, Sumanta; Alberti, Juan; Hautier, Yann","Nutrients and herbivores impact grassland stability across spatial scales through different pathways","10.1111/gcb.16087","GLOBAL CHANGE BIOLOGY","grassland","Global","local",1,NA,"exp",""
"Nobis, Agnieszka; Zmihorski, Michal; Kotowska, Dorota","Linking the diversity of native flora to land cover heterogeneity and plant invasions in a river valley","10.1016/j.biocon.2016.08.032","BIOLOGICAL CONSERVATION","grassland","Europe","local",1e+06,NA,"obs",""
"Schweiger, O; Maelfait, JP; Van Wingerden, W; Hendrickx, F; Billeter, R; Speelmans, M; Augenstein, I; Aukema, B; Aviron, S; Bailey, D; Bukacek, R; Burel, F; Diekotter, T; Dirksen, J; Frenzel, M; Herzog, F; Liira, J; Roubalova, M; Bugter, R","Quantifying the impact of environmental factors on arthropod communities in agricultural landscapes across organizational levels and spatial scales","10.1111/j.1365-2664.2005.01085.x","JOURNAL OF APPLIED ECOLOGY","grassland","Europe","local",7850,NA,"obs",""
"Mittelbach, GG; Steiner, CF; Scheiner, SM; Gross, KL; Reynolds, HL; Waide, RB; Willig, MR; Dodson, SI; Gough, L","What is the observed relationship between species richness and productivity?","","ECOLOGY","multiple",NA,"local",NA,0,"meta",""
"Mittelbach, GG; Steiner, CF; Scheiner, SM; Gross, KL; Reynolds, HL; Waide, RB; Willig, MR; Dodson, SI; Gough, L","What is the observed relationship between species richness and productivity?","","ECOLOGY","multiple",NA,"local",NA,20,"meta",""
"Benayas, JMR; Scheiner, SM","Plant diversity, biogeography and environment in Iberia: Patterns and possible causal factors","10.1111/j.1654-1103.2002.tb02045.x","JOURNAL OF VEGETATION SCIENCE","multiple","Europe","local",100,NA,"obs",""
"Weis, Jerome J.; Vasseur, David A.","Differential predation drives overyielding of prey species in a patchy environment","10.1111/j.1600-0706.2013.00632.x","OIKOS",NA,NA,"local",NA,NA,"sim",""
"Nobis, Agnieszka; Zmihorski, Michal; Kotowska, Dorota","Linking the diversity of native flora to land cover heterogeneity and plant invasions in a river valley","10.1016/j.biocon.2016.08.032","BIOLOGICAL CONSERVATION","shrubland","Europe","local",1e+06,NA,"obs",""
"Schweiger, O; Maelfait, JP; Van Wingerden, W; Hendrickx, F; Billeter, R; Speelmans, M; Augenstein, I; Aukema, B; Aviron, S; Bailey, D; Bukacek, R; Burel, F; Diekotter, T; Dirksen, J; Frenzel, M; Herzog, F; Liira, J; Roubalova, M; Bugter, R","Quantifying the impact of environmental factors on arthropod communities in agricultural landscapes across organizational levels and spatial scales","10.1111/j.1365-2664.2005.01085.x","JOURNAL OF APPLIED ECOLOGY","shrubland","Europe","local",7850,NA,"obs",""
"Rejou-Mechain, Maxime; Flores, Olivier; Bourland, Nils; Doucet, Jean-Louis; Feteke, Richard F.; Pasquier, Alexandra; Hardy, Olivier J.","Spatial aggregation of tropical trees at multiple spatial scales","10.1111/j.1365-2745.2011.01873.x","JOURNAL OF ECOLOGY","forest","Africa","mesoscale",NA,1,"obs","new scale term"
"Rejou-Mechain, Maxime; Flores, Olivier; Bourland, Nils; Doucet, Jean-Louis; Feteke, Richard F.; Pasquier, Alexandra; Hardy, Olivier J.","Spatial aggregation of tropical trees at multiple spatial scales","10.1111/j.1365-2745.2011.01873.x","JOURNAL OF ECOLOGY","forest","Africa","mesoscale",NA,10,"obs","new scale term"
"Lang, Simone I.; Cornelissen, Johannes H. C.; Hoelzer, Adam; ter Braak, Cajo J. F.; Ahrens, Matthias; Callaghan, Terry V.; Aerts, Rien","Determinants of cryptogam composition and diversity in Sphagnum-dominated peatlands: the importance of temporal, spatial and functional scales","10.1111/j.1365-2745.2008.01472.x","JOURNAL OF ECOLOGY","palustrine wetland","Europe","mesoscale",1.25,6,"obs","cryptogams includes plants without seeds (bryophytes, ferns) the name of the scale is most likely due to distance between sites (km) than total sampled surface (m2)"
"Lang, Simone I.; Cornelissen, Johannes H. C.; Hoelzer, Adam; ter Braak, Cajo J. F.; Ahrens, Matthias; Callaghan, Terry V.; Aerts, Rien","Determinants of cryptogam composition and diversity in Sphagnum-dominated peatlands: the importance of temporal, spatial and functional scales","10.1111/j.1365-2745.2008.01472.x","JOURNAL OF ECOLOGY","palustrine wetland","Europe","microscale",0.25,5e-04,"obs","cryptogams includes plants without seeds (bryophytes, ferns) the name of the scale is most likely due to distance between sites (km) than total sampled surface (m2)"
"Chudomelova, Marketa; Zeleny, David","Tracing the signs of local dispersal in the temperate forest understorey using spatially structured vegetation data","10.1111/jvs.12835","JOURNAL OF VEGETATION SCIENCE","forest","Europe","neighbourhood",25,NA,"obs",""
"Grossman, Jake J.; Cavender-Bares, Jeannine; Hobbie, Sarah E.; Reich, Peter B.; Montgomery, Rebecca A.","Species richness and traits predict overyielding in stem growth in an early-successional tree diversity experiment","10.1002/ecy.1958","ECOLOGY","forest","North America","neighbourhood",1,NA,"exp",""
"He, Dong; Biswas, Shekhar R.","Negative relationship between interspecies spatial association and trait dissimilarity","10.1111/oik.05876","OIKOS","forest","Asia","neighbourhood",314,NA,"obs",""
"Dwyer, John M.; Laughlin, Daniel C.","Constraints on trait combinations explain climatic drivers of biodiversity: the importance of trait covariance in community assembly","10.1111/ele.12781","ECOLOGY LETTERS","shrubland","Oceania","neighbourhood",0.09,NA,"obs",""
"Escudero, A; Romao, RL; de la Cruz, M; Maestre, FT","Spatial pattern and neighbour effects on Helianthemum squamatum seedlings in a Mediterranean gypsum community","10.1111/j.1654-1103.2005.tb02377.x","JOURNAL OF VEGETATION SCIENCE","shrubland","Europe","neighbourhood",0.0314,NA,"obs",""
